n, 5.541, 1, 4, 3, 43, 36
n, 8.274, 3, 15, 12, 25, 41
s, 9.877, 0, 5, 5, 25, 25
s, 13.325, 0, 20, 20, 26, 26
b, 33.909, 1, 16, 17, 30, 22
b, 10.573, 0, 12, 12, 20, 20
n, 10.723, 1, 22, 21, 32, 37
b, 4.843, 0, 25, 25, 27, 27
b, 13.794, 0, 25, 25, 20, 20
b, 21.559, 1, 1, 0, 28, 23
s, 9.473, 0, 10, 10, 35, 35
s, 22.711, 2, 12, 14, 29, 26
b, 23.292, 1, 19, 20, 36, 31
n, 8.758, 1, 4, 3, 27, 43
n, 7.392, 1, 3, 2, 41, 41
n, 8.142, 0, 11, 11, 42, 42
n, 5.541, 0, 15, 15, 35, 35
b, 13.512, 0, 10, 10, 20, 20
n, 6.69, 0, 17, 17, 40, 40
b, 12.576, 0, 16, 16, 37, 37
b, 6.091, 1, 1, 2, 37, 31
n, 5.025, 1, 5, 4, 25, 27
s, 9.425, 0, 15, 15, 22, 22
s, 9.342, 0, 19, 19, 26, 26
b, 11.145, 4, 14, 10, 36, 41
s, 14.261, 2, 13, 15, 35, 20
n, 4.675, 1, 11, 10, 40, 20
s, 21.926, 0, 14, 14, 25, 25
s, 3.257, 1, 6, 5, 27, 39
s, 6.428, 0, 25, 25, 32, 32
