s, 15.676, 0, 20, 20, 33, 33
b, 14.276, 3, 15, 18, 28, 33
n, 10.807, 1, 16, 17, 40, 31
n, 11.708, 0, 22, 22, 43, 43
s, 7.542, 0, 16, 16, 32, 32
n, 6.691, 1, 17, 18, 41, 39
n, 13.759, 1, 18, 19, 25, 41
b, 23.527, 0, 5, 5, 32, 32
b, 7.459, 0, 23, 23, 40, 40
s, 4.445, 0, 23, 23, 32, 32
n, 14.109, 0, 21, 21, 36, 36
n, 8.942, 1, 19, 20, 23, 20
b, 5.392, 0, 26, 26, 20, 20
s, 7.242, 0, 0, 0, 29, 29
s, 11.992, 0, 14, 14, 39, 39
n, 4.441, 0, 12, 12, 20, 20
b, 36.894, 0, 19, 19, 42, 42
s, 3.025, 0, 26, 26, 34, 34
b, 33.411, 1, 4, 5, 21, 26
s, 4.027, 0, 24, 24, 31, 31
b, 4.426, 0, 17, 17, 38, 38
b, 37.944, 3, 16, 19, 31, 31
b, 5.525, 0, 25, 25, 22, 22
n, 6.992, 1, 10, 11, 37, 26
n, 13.709, 0, 8, 8, 35, 35
s, 30.428, 0, 21, 21, 41, 41
s, 6.474, 0, 6, 6, 25, 25
s, 31.577, 0, 20, 20, 34, 34
b, 13.759, 0, 26, 26, 24, 24
n, 3.708, 0, 0, 0, 37, 37
