n, 11.18, 1, 9, 10, 38, 40
n, 14.0, 0, 3, 3, 35, 35
s, 23.294, 0, 18, 18, 25, 25
b, 21.354, 0, 15, 15, 20, 20
b, 6.75, 0, 25, 25, 33, 33
n, 12.246, 1, 2, 1, 44, 42
n, 19.079, 0, 13, 13, 39, 39
s, 15.619, 0, 25, 25, 35, 35
n, 11.595, 1, 9, 10, 20, 36
s, 6.356, 0, 26, 26, 41, 41
s, 10.499, 0, 7, 7, 23, 23
n, 7.078, 0, 1, 1, 28, 28
n, 9.127, 0, 9, 9, 32, 32
s, 38.699, 0, 16, 16, 40, 40
s, 32.931, 1, 16, 15, 40, 24
n, 12.215, 0, 18, 18, 21, 21
s, 7.432, 1, 18, 17, 28, 32
b, 9.839, 1, 0, 1, 24, 33
b, 29.198, 1, 14, 13, 29, 38
b, 16.5, 0, 6, 6, 24, 24
n, 12.895, 1, 16, 15, 28, 43
b, 25.618, 2, 9, 11, 30, 35
n, 4.911, 0, 26, 26, 43, 43
b, 19.63, 0, 20, 20, 25, 25
b, 18.854, 0, 9, 9, 29, 29
s, 6.814, 0, 11, 11, 28, 28
s, 20.946, 1, 13, 12, 34, 36
s, 11.78, 0, 21, 21, 32, 32
b, 8.699, 0, 1, 1, 40, 40
b, 4.088, 0, 26, 26, 28, 28
