s, 19.092, 2, 22, 20, 24, 28
b, 22.509, 0, 11, 11, 29, 29
b, 13.142, 0, 2, 2, 38, 38
s, 8.807, 0, 20, 20, 32, 32
b, 15.141, 0, 7, 7, 20, 20
s, 5.259, 1, 7, 8, 40, 28
n, 3.538, 1, 23, 22, 27, 37
b, 34.492, 0, 16, 16, 29, 29
n, 6.123, 0, 14, 14, 39, 39
b, 27.844, 0, 7, 7, 38, 38
b, 19.041, 0, 21, 21, 28, 28
s, 2.923, 0, 26, 26, 31, 31
n, 2.574, 0, 26, 26, 31, 31
n, 4.223, 2, 15, 13, 41, 33
n, 7.191, 1, 17, 16, 26, 36
b, 8.941, 0, 16, 16, 28, 28
b, 5.675, 0, 11, 11, 30, 30
s, 11.759, 0, 18, 18, 27, 27
s, 8.441, 0, 11, 11, 37, 37
s, 17.094, 2, 15, 13, 30, 22
s, 7.574, 0, 8, 8, 29, 29
s, 6.991, 0, 0, 0, 24, 24
b, 10.441, 2, 7, 9, 41, 21
n, 6.54, 0, 6, 6, 22, 22
n, 6.974, 1, 22, 21, 25, 43
n, 3.99, 1, 1, 0, 28, 34
n, 3.605, 1, 12, 11, 43, 43
n, 10.073, 1, 19, 18, 37, 40
s, 5.425, 0, 23, 23, 34, 34
b, 8.108, 0, 7, 7, 25, 25
