s, 23.876, 0, 10, 10, 28, 28
n, 10.858, 0, 20, 20, 39, 39
n, 6.388, 0, 15, 15, 42, 42
n, 16.145, 3, 6, 9, 27, 27
b, 35.702, 0, 23, 23, 42, 42
b, 18.5, 0, 16, 16, 22, 22
s, 40.784, 0, 9, 9, 26, 26
b, 33.589, 0, 8, 8, 24, 24
s, 11.519, 0, 15, 15, 33, 33
n, 30.253, 1, 3, 2, 38, 37
n, 8.473, 1, 21, 20, 21, 20
s, 0.001, 6, 13, 7, 32, 27
s, 11.443, 0, 7, 7, 23, 23
s, 9.807, 0, 11, 11, 30, 30
b, 5.674, 0, 11, 11, 21, 21
b, 28.221, 0, 14, 14, 34, 34
b, 23.544, 0, 7, 7, 37, 37
b, 18.392, 0, 4, 4, 33, 33
s, 20.785, 0, 22, 22, 24, 24
n, 11.401, 1, 5, 6, 28, 26
n, 5.253, 1, 0, 1, 43, 29
s, 4.95, 0, 1, 1, 33, 33
b, 16.686, 0, 2, 2, 42, 42
s, 19.512, 0, 4, 4, 34, 34
n, 16.865, 0, 7, 7, 20, 20
n, 12.684, 1, 14, 15, 42, 35
b, 24.476, 0, 2, 2, 37, 37
n, 10.617, 1, 3, 2, 25, 42
b, 16.229, 0, 23, 23, 31, 31
s, 14.361, 0, 7, 7, 29, 29
