b, 5.191, 0, 24, 24, 37, 37
s, 8.973, 0, 19, 19, 44, 44
s, 5.207, 2, 12, 14, 39, 31
n, 6.524, 1, 11, 12, 34, 35
n, 7.125, 1, 3, 4, 41, 29
s, 8.109, 1, 19, 18, 24, 20
s, 5.473, 1, 1, 0, 26, 25
s, 4.809, 1, 7, 8, 40, 36
b, 3.426, 1, 11, 12, 30, 43
b, 6.542, 1, 23, 22, 34, 26
s, 17.327, 0, 26, 26, 23, 23
b, 16.324, 2, 4, 2, 24, 26
n, 6.424, 4, 16, 12, 28, 35
n, 3.023, 1, 16, 15, 22, 34
b, 5.01, 1, 6, 7, 27, 42
s, 7.191, 1, 17, 18, 24, 28
s, 4.206, 0, 18, 18, 33, 33
n, 16.221, 12, 20, 8, 39, 26
b, 2.274, 1, 10, 11, 26, 42
n, 4.593, 1, 23, 22, 39, 37
b, 2.992, 0, 26, 26, 30, 30
s, 4.844, 1, 13, 12, 23, 43
b, 5.458, 1, 1, 0, 27, 40
n, 3.909, 2, 12, 10, 20, 42
b, 33.545, 2, 9, 11, 27, 21
s, 9.111, 2, 14, 12, 27, 44
n, 3.674, 1, 18, 17, 21, 34
n, 4.776, 2, 16, 14, 36, 39
b, 6.194, 0, 9, 9, 20, 20
n, 9.225, 0, 5, 5, 33, 33
